"era","topic","top_words"
"harsh conservative government",1,"사람, 중국, 농민, 조선, 인쇄, 자본, 결과, 식민지, 선생, 인간주의"
"harsh conservative government",2,"사람, 조선, 문제, 생각, 교장, 학교, 사업, 녀자, 농촌, 하야"
"harsh conservative government",3,"사람, 암송, 조선, 농촌, 모양, 소리, 청계천, 방법, 머리, 도회"
"harsh conservative government",4,"사람, 교육, 청춘, 하야, 여성, 세계, 여자, 성인, 경성, 유방"
"harsh conservative government",5,"조선, 미술, 생각, 결혼, 개성, 생활, 선생, 문제, 시대, 민중, 혁명"
"militarization, ethnocide",1,"사람, 여성, 생각, 작가, 집시, 생활, 문화, 정책, 문학, 세계"
"militarization, ethnocide",2,"사람, 생각, 생활, 선생, 중경, 조선, 진구, 연구, 시작, 명호"
"militarization, ethnocide",3,"사람, 생각, 사랑, 조선, 기독교, 어머니, 인생, 소리, 마음, 세계"
"militarization, ethnocide",4,"조선, 사람, 생각, 마음, 예술, 시대, 주식, 노래, 사실, 사이"
"militarization, ethnocide",5,"조선, 일본, 문화, 사람, 생각, 민족, 지나, 위기, 교육, 문제"
"pre-colonial",1,"사람, 생각, 본국, 학교, 고생, 마음, 문예, 번뇌, 사상, 모양, 진심, 고향, 교과서, 노형, 도라, 무한, 성격, 시대, 아해, 영예, 영호, 오늘, 이것저것, 이야기, 자이, 지명, 책보, 책상, 친구, 피차, 함의"
"pre-colonial",2,"교육, 습관, 가정, 가졍, 리오, 아동, 성질, 어미, 지니, 품격"
"pre-colonial",3,"크롬웰, 국회, 군대, 발명, 챨스, 영솔, 음모, 후레스히데리, 국가, 국민, 철기"
"pre-colonial",4,"대통령, 불행, 합중국, 인물, 일신, 학살, 정치, 관계, 교육, 사회, 상등, 우려, 의식, 인간, 일국, 자유, 재력, 중등, 하등, 관리, 모양, 사건, 알메니냐, 야소, 일변, 정략, 참상, 토이"
"pre-colonial",5,"인도, 기기, 동방, 영국, 공예, 면포, 각국, 개량, 본국, 면화, 조성"
"relative liberalization",1,"도착, 출발점, 생각, 하야, 사슈가, 사람, 운동, 기생, 일반, 학동"
"relative liberalization",2,"과학, 동상, 원산, 조선, 경성, 사람, 폐해, 종교, 천도교, 시대, 입선"
"relative liberalization",3,"천도교, 민족, 사회, 하야, 조선, 조선인, 장자, 특이, 물질, 변화, 요소"
"relative liberalization",4,"인간, 선생, 금전, 사람, 일반, 지방, 하야, 생각, 문화, 인사, 문학"
"relative liberalization",5,"사람, 조선, 물산, 예술, 생각, 가티, 민중, 성격, 생활, 선전, 처가"
"start of colonial period",1,"정신, 고야, 기녀기매, 아들, 장안, 학교, 상속, 식구, 공부, 웻즛"
"start of colonial period",2,"금전, 얏스니, 미국인, 얏, 신뢰, 반수, 저축, 영국인, 심사, 여하"
"start of colonial period",3,"식구, 아들, 작자, 학교, 시작, 공부, 선달, 더리, 비밀, 동화"
"start of colonial period",4,"작자, 학교, 갈보, 장안, 비밀, 공부, 수작, 처음, 당초, 어미"
"start of colonial period",5,"얏스니, 자립, 금전, 불가, 신용, 운명, 직업, 지력, 낭비, 아가"
